Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
BatchName,String,1,25,"The name for a batch of transactions that the merchant assigns. This element is optional.

The Transaction Services system creates a default batch name of System for transactions that do not include this element. When you use this element, the system stores its value and adds it to the Batch Close transaction.",<BatchName>Optional-batch-name</BatchName>,"{
  ""BatchName"": ""Optional-batch-name""
}",,,,"New-Item -Path . -Name ""BatchName.md"" -ItemType ""file"" -Value ""# BatchName"";Add-Content -Path "".\BatchName.md"" -Value ""`n""","Add-Content -Path "".\BatchName.md"" @""
The name for a batch of transactions that the merchant assigns. This element is optional.

The Transaction Services system creates a default batch name of System for transactions that do not include this element. When you use this element, the system stores its value and adds it to the Batch Close transaction.
""@","Add-Content -Path "".\BatchName.md"" -Value ""`n"";Add-Content -Path "".\BatchName.md"" -Value ""## Specifications"";Add-Content -Path "".\BatchName.md"" -Value ""`n"";Add-Content -Path "".\BatchName.md"" -Value ""* Data type: String"";Add-Content -Path "".\BatchName.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\BatchName.md"" -Value ""* Maximal length: 25"";Add-Content -Path "".\BatchName.md"" -Value ""`n"";Add-Content -Path "".\BatchName.md"" -Value ""## Example"";Add-Content -Path "".\BatchName.md"" -Value ""`n"";Add-Content -Path "".\BatchName.md"" -Value ""`````` json""","Add-Content -Path "".\BatchName.md"" @""
{
  ""BatchName"": ""Optional-batch-name""
}
""@","Add-Content -Path "".\BatchName.md"" -Value ""``````"""
BillDate,Date,10,10,"A new billing date for an existing recurring transaction. You can use this element only when updating  an existing recurring transaction. 

The value of this element is in DDMMYYYY format.

This value changes the next scheduled transaction and all future transactions.

The following example changes a monthly recurring transaction with the next scheduled payment set to 09/15/2023. After the update, the next recurring transaction is set to 11/17/2023. The system skips the transaction on 09/15/2023 and processes all future transactions on the 17th day of the month.",<BillDate>11172023</BillDate>,"{
  ""BillDate"": 11172023
}",,,,"New-Item -Path . -Name ""BillDate.md"" -ItemType ""file"" -Value ""# BillDate"";Add-Content -Path "".\BillDate.md"" -Value ""`n""","Add-Content -Path "".\BillDate.md"" @""
A new billing date for an existing recurring transaction. You can use this element only when updating  an existing recurring transaction. 

The value of this element is in DDMMYYYY format.

This value changes the next scheduled transaction and all future transactions.

The following example changes a monthly recurring transaction with the next scheduled payment set to 09/15/2023. After the update, the next recurring transaction is set to 11/17/2023. The system skips the transaction on 09/15/2023 and processes all future transactions on the 17th day of the month.
""@","Add-Content -Path "".\BillDate.md"" -Value ""`n"";Add-Content -Path "".\BillDate.md"" -Value ""## Specifications"";Add-Content -Path "".\BillDate.md"" -Value ""`n"";Add-Content -Path "".\BillDate.md"" -Value ""* Data type: Date"";Add-Content -Path "".\BillDate.md"" -Value ""* Minimal length: 10"";Add-Content -Path "".\BillDate.md"" -Value ""* Maximal length: 10"";Add-Content -Path "".\BillDate.md"" -Value ""`n"";Add-Content -Path "".\BillDate.md"" -Value ""## Example"";Add-Content -Path "".\BillDate.md"" -Value ""`n"";Add-Content -Path "".\BillDate.md"" -Value ""`````` json""","Add-Content -Path "".\BillDate.md"" @""
{
  ""BillDate"": 11172023
}
""@","Add-Content -Path "".\BillDate.md"" -Value ""``````"""
BillType,Alpha,1,1,"The billing type for this transaction.

The value of D stands for direct billing.
The value of I stands for indirect billing.",<BillType>D</BillType>,"{
  ""BillType"": ""D""
}",,,,"New-Item -Path . -Name ""BillType.md"" -ItemType ""file"" -Value ""# BillType"";Add-Content -Path "".\BillType.md"" -Value ""`n""","Add-Content -Path "".\BillType.md"" @""
The billing type for this transaction.

The value of D stands for direct billing.
The value of I stands for indirect billing.
""@","Add-Content -Path "".\BillType.md"" -Value ""`n"";Add-Content -Path "".\BillType.md"" -Value ""## Specifications"";Add-Content -Path "".\BillType.md"" -Value ""`n"";Add-Content -Path "".\BillType.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\BillType.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\BillType.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\BillType.md"" -Value ""`n"";Add-Content -Path "".\BillType.md"" -Value ""## Example"";Add-Content -Path "".\BillType.md"" -Value ""`n"";Add-Content -Path "".\BillType.md"" -Value ""`````` json""","Add-Content -Path "".\BillType.md"" @""
{
  ""BillType"": ""D""
}
""@","Add-Content -Path "".\BillType.md"" -Value ""``````"""
BusinessName,Alphanumeric,1,30,The customer-facing business name.,<BusinessName>Transaction Services</BusinessName>,"{
  ""BusinessName"": ""Transaction Services""
}",,,,"New-Item -Path . -Name ""BusinessName.md"" -ItemType ""file"" -Value ""# BusinessName"";Add-Content -Path "".\BusinessName.md"" -Value ""`n""","Add-Content -Path "".\BusinessName.md"" @""
The customer-facing business name.
""@","Add-Content -Path "".\BusinessName.md"" -Value ""`n"";Add-Content -Path "".\BusinessName.md"" -Value ""## Specifications"";Add-Content -Path "".\BusinessName.md"" -Value ""`n"";Add-Content -Path "".\BusinessName.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\BusinessName.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\BusinessName.md"" -Value ""* Maximal length: 30"";Add-Content -Path "".\BusinessName.md"" -Value ""`n"";Add-Content -Path "".\BusinessName.md"" -Value ""## Example"";Add-Content -Path "".\BusinessName.md"" -Value ""`n"";Add-Content -Path "".\BusinessName.md"" -Value ""`````` json""","Add-Content -Path "".\BusinessName.md"" @""
{
  ""BusinessName"": ""Transaction Services""
}
""@","Add-Content -Path "".\BusinessName.md"" -Value ""``````"""
CardSecurity,Array of elements,N/A,N/A,Contains all the sub-elements required to create a VerifiedByVisa or MasterCard Secure Code record.,,"""CardSecurity"": {
      ""Cavv"": ""string"",
      ""Xid"": ""string"",
      ""UcafIndicator"": 0,
      ""UcafData"": ""string"",
      ""DSRPCryptogram"": ""string"",
      ""DSTransactionId"": ""string"",
      ""DSTransactionId3DS"": ""string"",
      ""Version"": ""string""
    }",,,,"New-Item -Path . -Name ""CardSecurity.md"" -ItemType ""file"" -Value ""# CardSecurity"";Add-Content -Path "".\CardSecurity.md"" -Value ""`n""","Add-Content -Path "".\CardSecurity.md"" @""
Contains all the sub-elements required to create a VerifiedByVisa or MasterCard Secure Code record.
""@","Add-Content -Path "".\CardSecurity.md"" -Value ""`n"";Add-Content -Path "".\CardSecurity.md"" -Value ""## Specifications"";Add-Content -Path "".\CardSecurity.md"" -Value ""`n"";Add-Content -Path "".\CardSecurity.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\CardSecurity.md"" -Value ""`n"";Add-Content -Path "".\CardSecurity.md"" -Value ""## Example"";Add-Content -Path "".\CardSecurity.md"" -Value ""`n"";Add-Content -Path "".\CardSecurity.md"" -Value ""`````` json""","Add-Content -Path "".\CardSecurity.md"" @""
""CardSecurity"": {
      ""Cavv"": ""string"",
      ""Xid"": ""string"",
      ""UcafIndicator"": 0,
      ""UcafData"": ""string"",
      ""DSRPCryptogram"": ""string"",
      ""DSTransactionId"": ""string"",
      ""DSTransactionId3DS"": ""string"",
      ""Version"": ""string""
    }
""@","Add-Content -Path "".\CardSecurity.md"" -Value ""``````"""
CardType,Alpha,1,10,"The supported card type for a service record.

The value of All indicates the support of all card types.
The value of Amex indicates the support of American Express cards.
The value of Discover indicates the support of Discover cards.
The value of MasterCard indicates the support of MasterCard cards.
The value of Visa indicates the support of Visa cards.",<CardType>Visa</CardType>,"{
  ""CardType"": ""Visa""
}",,,,"New-Item -Path . -Name ""CardType.md"" -ItemType ""file"" -Value ""# CardType"";Add-Content -Path "".\CardType.md"" -Value ""`n""","Add-Content -Path "".\CardType.md"" @""
The supported card type for a service record.

The value of All indicates the support of all card types.
The value of Amex indicates the support of American Express cards.
The value of Discover indicates the support of Discover cards.
The value of MasterCard indicates the support of MasterCard cards.
The value of Visa indicates the support of Visa cards.
""@","Add-Content -Path "".\CardType.md"" -Value ""`n"";Add-Content -Path "".\CardType.md"" -Value ""## Specifications"";Add-Content -Path "".\CardType.md"" -Value ""`n"";Add-Content -Path "".\CardType.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\CardType.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\CardType.md"" -Value ""* Maximal length: 10"";Add-Content -Path "".\CardType.md"" -Value ""`n"";Add-Content -Path "".\CardType.md"" -Value ""## Example"";Add-Content -Path "".\CardType.md"" -Value ""`n"";Add-Content -Path "".\CardType.md"" -Value ""`````` json""","Add-Content -Path "".\CardType.md"" @""
{
  ""CardType"": ""Visa""
}
""@","Add-Content -Path "".\CardType.md"" -Value ""``````"""
Cavv,Base64,28,28,The cardholder authentication verification value (CAVV) for 3D Secure authentication. The CAVV is a cryptographic value that the issuer’s Access Control Server (ACS) calculates using the issuer’s encryption key.,<Cavv>dHdlbnR5ZWlnaHRkaWdpdHMgMjg=</Cavv>,"{
  ""Cavv"": ""dHdlbnR5ZWlnaHRkaWdpdHMgMjg=""
}",,,,"New-Item -Path . -Name ""Cavv.md"" -ItemType ""file"" -Value ""# Cavv"";Add-Content -Path "".\Cavv.md"" -Value ""`n""","Add-Content -Path "".\Cavv.md"" @""
The cardholder authentication verification value (CAVV) for 3D Secure authentication. The CAVV is a cryptographic value that the issuer’s Access Control Server (ACS) calculates using the issuer’s encryption key.
""@","Add-Content -Path "".\Cavv.md"" -Value ""`n"";Add-Content -Path "".\Cavv.md"" -Value ""## Specifications"";Add-Content -Path "".\Cavv.md"" -Value ""`n"";Add-Content -Path "".\Cavv.md"" -Value ""* Data type: Base64"";Add-Content -Path "".\Cavv.md"" -Value ""* Minimal length: 28"";Add-Content -Path "".\Cavv.md"" -Value ""* Maximal length: 28"";Add-Content -Path "".\Cavv.md"" -Value ""`n"";Add-Content -Path "".\Cavv.md"" -Value ""## Example"";Add-Content -Path "".\Cavv.md"" -Value ""`n"";Add-Content -Path "".\Cavv.md"" -Value ""`````` json""","Add-Content -Path "".\Cavv.md"" @""
{
  ""Cavv"": ""dHdlbnR5ZWlnaHRkaWdpdHMgMjg=""
}
""@","Add-Content -Path "".\Cavv.md"" -Value ""``````"""
CellCarrier,String [enum],,,"The mobile network operator of a user, consumer, shipping record, or account. Possible values are Alltel, ATT, Google, Nextel, Sprint, T-Mobile, U.S.Cellular, Verizon, and VirginMobile.",<CellCarrier>ATT</CellCarrier>,"{
  ""CellCarrier"": ""ATT""
}",,,,"New-Item -Path . -Name ""CellCarrier.md"" -ItemType ""file"" -Value ""# CellCarrier"";Add-Content -Path "".\CellCarrier.md"" -Value ""`n""","Add-Content -Path "".\CellCarrier.md"" @""
The mobile network operator of a user, consumer, shipping record, or account. Possible values are Alltel, ATT, Google, Nextel, Sprint, T-Mobile, U.S.Cellular, Verizon, and VirginMobile.
""@","Add-Content -Path "".\CellCarrier.md"" -Value ""`n"";Add-Content -Path "".\CellCarrier.md"" -Value ""## Specifications"";Add-Content -Path "".\CellCarrier.md"" -Value ""`n"";Add-Content -Path "".\CellCarrier.md"" -Value ""* Data type: String [enum]"";Add-Content -Path "".\CellCarrier.md"" -Value ""* Minimal length: "";Add-Content -Path "".\CellCarrier.md"" -Value ""* Maximal length: "";Add-Content -Path "".\CellCarrier.md"" -Value ""`n"";Add-Content -Path "".\CellCarrier.md"" -Value ""## Example"";Add-Content -Path "".\CellCarrier.md"" -Value ""`n"";Add-Content -Path "".\CellCarrier.md"" -Value ""`````` json""","Add-Content -Path "".\CellCarrier.md"" @""
{
  ""CellCarrier"": ""ATT""
}
""@","Add-Content -Path "".\CellCarrier.md"" -Value ""``````"""
CellPhone,Alphanumeric,1,15,"The phone number of a user, consumer, shipping record, or account.",<Phone>212-555-1212</Phone>,"{
  ""Phone"": ""212-555-1212""
}",,,,"New-Item -Path . -Name ""CellPhone.md"" -ItemType ""file"" -Value ""# CellPhone"";Add-Content -Path "".\CellPhone.md"" -Value ""`n""","Add-Content -Path "".\CellPhone.md"" @""
The phone number of a user, consumer, shipping record, or account.
""@","Add-Content -Path "".\CellPhone.md"" -Value ""`n"";Add-Content -Path "".\CellPhone.md"" -Value ""## Specifications"";Add-Content -Path "".\CellPhone.md"" -Value ""`n"";Add-Content -Path "".\CellPhone.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\CellPhone.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\CellPhone.md"" -Value ""* Maximal length: 15"";Add-Content -Path "".\CellPhone.md"" -Value ""`n"";Add-Content -Path "".\CellPhone.md"" -Value ""## Example"";Add-Content -Path "".\CellPhone.md"" -Value ""`n"";Add-Content -Path "".\CellPhone.md"" -Value ""`````` json""","Add-Content -Path "".\CellPhone.md"" @""
{
  ""Phone"": ""212-555-1212""
}
""@","Add-Content -Path "".\CellPhone.md"" -Value ""``````"""
CheckInDate,Date,10,10,"The check-in date. You can use this element when the Industry is set to Hotel.

The value of this element is in DDMMYYYY format.",,"{
  ""CheckInDate"": 11172023
}",,,,"New-Item -Path . -Name ""CheckInDate.md"" -ItemType ""file"" -Value ""# CheckInDate"";Add-Content -Path "".\CheckInDate.md"" -Value ""`n""","Add-Content -Path "".\CheckInDate.md"" @""
The check-in date. You can use this element when the Industry is set to Hotel.

The value of this element is in DDMMYYYY format.
""@","Add-Content -Path "".\CheckInDate.md"" -Value ""`n"";Add-Content -Path "".\CheckInDate.md"" -Value ""## Specifications"";Add-Content -Path "".\CheckInDate.md"" -Value ""`n"";Add-Content -Path "".\CheckInDate.md"" -Value ""* Data type: Date"";Add-Content -Path "".\CheckInDate.md"" -Value ""* Minimal length: 10"";Add-Content -Path "".\CheckInDate.md"" -Value ""* Maximal length: 10"";Add-Content -Path "".\CheckInDate.md"" -Value ""`n"";Add-Content -Path "".\CheckInDate.md"" -Value ""## Example"";Add-Content -Path "".\CheckInDate.md"" -Value ""`n"";Add-Content -Path "".\CheckInDate.md"" -Value ""`````` json""","Add-Content -Path "".\CheckInDate.md"" @""
{
  ""CheckInDate"": 11172023
}
""@","Add-Content -Path "".\CheckInDate.md"" -Value ""``````"""
CheckOutDate,Date,10,10,"The checkout date. You can use this element when the Industry is set to Hotel.

The value of this element is in DDMMYYYY format.",,"{
  ""CheckOutDate"": 11172023
}",,,,"New-Item -Path . -Name ""CheckOutDate.md"" -ItemType ""file"" -Value ""# CheckOutDate"";Add-Content -Path "".\CheckOutDate.md"" -Value ""`n""","Add-Content -Path "".\CheckOutDate.md"" @""
The checkout date. You can use this element when the Industry is set to Hotel.

The value of this element is in DDMMYYYY format.
""@","Add-Content -Path "".\CheckOutDate.md"" -Value ""`n"";Add-Content -Path "".\CheckOutDate.md"" -Value ""## Specifications"";Add-Content -Path "".\CheckOutDate.md"" -Value ""`n"";Add-Content -Path "".\CheckOutDate.md"" -Value ""* Data type: Date"";Add-Content -Path "".\CheckOutDate.md"" -Value ""* Minimal length: 10"";Add-Content -Path "".\CheckOutDate.md"" -Value ""* Maximal length: 10"";Add-Content -Path "".\CheckOutDate.md"" -Value ""`n"";Add-Content -Path "".\CheckOutDate.md"" -Value ""## Example"";Add-Content -Path "".\CheckOutDate.md"" -Value ""`n"";Add-Content -Path "".\CheckOutDate.md"" -Value ""`````` json""","Add-Content -Path "".\CheckOutDate.md"" @""
{
  ""CheckOutDate"": 11172023
}
""@","Add-Content -Path "".\CheckOutDate.md"" -Value ""``````"""
City,Alpha,1,30,"The city for a user, consumer, shipping record, or account.",<City>Any City</City>,"{
  ""City"": ""Any City""
}",,,,"New-Item -Path . -Name ""City.md"" -ItemType ""file"" -Value ""# City"";Add-Content -Path "".\City.md"" -Value ""`n""","Add-Content -Path "".\City.md"" @""
The city for a user, consumer, shipping record, or account.
""@","Add-Content -Path "".\City.md"" -Value ""`n"";Add-Content -Path "".\City.md"" -Value ""## Specifications"";Add-Content -Path "".\City.md"" -Value ""`n"";Add-Content -Path "".\City.md"" -Value ""* Data type: Alpha"";Add-Content -Path "".\City.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\City.md"" -Value ""* Maximal length: 30"";Add-Content -Path "".\City.md"" -Value ""`n"";Add-Content -Path "".\City.md"" -Value ""## Example"";Add-Content -Path "".\City.md"" -Value ""`n"";Add-Content -Path "".\City.md"" -Value ""`````` json""","Add-Content -Path "".\City.md"" @""
{
  ""City"": ""Any City""
}
""@","Add-Content -Path "".\City.md"" -Value ""``````"""
